,lemma_word,word,ENT,suggested_by,rating,video_id,ENT_len,ENT_max
242,paneer gravy,paneer gravy,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
243,flavorful paneer butter,flavorful paneer butter,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
244,lassiwala,lassiwala,{'FOOD SHOP'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD SHOP
245,sundaes,sundaes,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
246,sunny afternoon,sunny afternoon,{'LANDMARK'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
247,dairy,dairy,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
248,paneer pakota samosa jalebi,paneer pakota samosa jalebi,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
249,chai,chai,{'FOOD'},{'SugarSpiceNice India'},9.330362857142857,{'D1blpY-3ROE'},1,FOOD
250,paneer pakoda,paneer pakoda,{'LANDMARK'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
251,samosa the,samosa the,{'LANDMARK'},{'SugarSpiceNice India'},4.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
252,chutney,chutney,"{'FOOD', 'AREA'}",{'SugarSpiceNice India'},11.330362857142857,{'D1blpY-3ROE'},2,FOOD
253,masala,masala,{'FOOD'},{'SugarSpiceNice India'},16.33036285714286,{'D1blpY-3ROE'},1,FOOD
254,chewy jalebi,chewy jalebi,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
255,softy,softy,{'AREA'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,AREA
256,masala chalk now,masala chalk now,{'ROADS'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,ROADS
257,mahavir rabri,mahavir rabri,{'FOOD SHOP'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD SHOP
258,thali,thali,{'FOOD'},{'SugarSpiceNice India'},7.330362857142857,{'D1blpY-3ROE'},1,FOOD
259,roti,roti,{'FOOD'},{'SugarSpiceNice India'},8.330362857142857,{'D1blpY-3ROE'},1,FOOD
260,joa besan,joa besan,{'LANDMARK'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
261,mirchi ketepore,mirchi ketepore,{'FOOD SHOP'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD SHOP
262,mahavir,mahavir,{'CITY'},{'SugarSpiceNice India'},4.330362857142857,{'D1blpY-3ROE'},1,CITY
263,kesari,kesari,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
264,mithai,mithai,"{'FOOD SHOP', 'AREA'}",{'SugarSpiceNice India'},5.330362857142857,{'D1blpY-3ROE'},2,FOOD SHOP
265,kachori samosa bread pakoda paneer kofta,kachori samosa bread pakoda paneer kofta,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
266,ladoos,ladoos,{'FOOD'},{'SugarSpiceNice India'},5.330362857142857,{'D1blpY-3ROE'},1,FOOD
267,boondi ladoos,boondi ladoos,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
268,bundila doos,bundila doos,{'LANDMARK'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
269,perfection,perfection,{'FOOD'},{'SugarSpiceNice India'},4.330362857142857,{'D1blpY-3ROE'},1,FOOD
270,sanjay omelette,sanjay omelette,"{'FOOD SHOP', 'LANDMARK'}",{'SugarSpiceNice India'},6.330362857142857,{'D1blpY-3ROE'},2,FOOD SHOP
271,green chutney,green chutney,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
272,masala omelette,masala omelette,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
273,garlic chutney,garlic chutney,{'FOOD'},"{'Golgappa Girl', 'SugarSpiceNice India'}",4.08704389469609,"{'D1blpY-3ROE', 'snwAYESRUEw'}",1,FOOD
274,masala maggie,masala maggie,{'LANDMARK'},{'SugarSpiceNice India'},4.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
275,jawahar kala kendra,jawahar kala kendra,{'LANDMARK'},{'SugarSpiceNice India'},4.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
276,durga das,durga das,{'LANDMARK'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
277,bhandar,bhandar,{'LANDMARK'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
278,pani,pani,{'AREA'},{'SugarSpiceNice India'},4.330362857142857,{'D1blpY-3ROE'},1,AREA
279,tamarind,tamarind,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
280,pani puri,pani puri,{'LANDMARK'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
281,chora rasta,chora rasta,{'LANDMARK'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
282,aloo kakachori,aloo kakachori,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
283,pyasa kachori,pyasa kachori,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
284,aloo ki kachori,aloo ki kachori,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
285,mirchi bada and samosa,mirchi bada and samosa,{'FOOD SHOP'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD SHOP
286,lmb,lmb,{'FOOD SHOP'},{'SugarSpiceNice India'},5.330362857142857,{'D1blpY-3ROE'},1,FOOD SHOP
287,sesame seed,sesame seeds,{'FOOD'},{'SugarSpiceNice India'},4.330362857142857,{'D1blpY-3ROE'},1,FOOD
288,peanut,peanut,{'FOOD'},{'SugarSpiceNice India'},6.330362857142857,{'D1blpY-3ROE'},1,FOOD
289,chicky,chicky,{'FOOD'},{'SugarSpiceNice India'},4.330362857142857,{'D1blpY-3ROE'},1,FOOD
290,pista,pista,{'FOOD'},{'SugarSpiceNice India'},4.330362857142857,{'D1blpY-3ROE'},1,FOOD
291,mango,mango,{'AREA'},{'SugarSpiceNice India'},4.330362857142857,{'D1blpY-3ROE'},1,AREA
292,ribery the,ribery the,{'LANDMARK'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
293,kaju katli,kaju katli,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
294,aloo tiki,aloo tiki,{'LANDMARK'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,LANDMARK
295,dahi,dahi,{'FOOD'},{'SugarSpiceNice India'},6.330362857142857,{'D1blpY-3ROE'},1,FOOD
296,paneer gaver,paneer gaver,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
297,top,topped,{'FOOD'},{'SugarSpiceNice India'},4.330362857142857,{'D1blpY-3ROE'},1,FOOD
298,jeera,jeera,{'FOOD'},{'SugarSpiceNice India'},5.330362857142857,{'D1blpY-3ROE'},1,FOOD
299,sweet chutney,sweet chutney,{'FOOD'},{'SugarSpiceNice India'},3.330362857142857,{'D1blpY-3ROE'},1,FOOD
300,rescuce,rescuce,{'FOOD'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,FOOD
301,cimd,cimd,{'FOOD'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,FOOD
302,rawat mishthan bhandar,rawat mishthan bhandar,{'FOOD SHOP'},{'Golgappa Girl'},2.8437249322493225,{'snwAYESRUEw'},1,FOOD SHOP
303,mawa kachori,mawa kachori,{'LANDMARK'},{'Golgappa Girl'},3.8437249322493225,{'snwAYESRUEw'},1,LANDMARK
